N,N_p,K,basis,alpha,noise_level,compute_model_posterior,random_seed,n_jobs,dofs,N_d,bc_config,method,bc_name,snr,noise_std,model_rms_error,model_relative_error,property_mean_abs_error,property_rms_error,property_max_error,properties_within_2sigma,properties_within_2sigma_pct,data_misfit_posterior,data_misfit_prior,data_fit_improvement_pct,setup_spaces,create_operators,generate_data,setup_prior,model_posterior_compute,property_mapping,property_covariance_extract,inference_total,total,run_name,status
100,20,100,,0.1,0.1,False,42,30,100,100,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",spectral,Dirichlet,10.0,0.10924439116284056,0.14760577093734367,0.23903195071899433,0.06629367556413793,0.07842709372130859,0.14745427418042978,20,100.0,0.8137914777954832,2.126931328317275,61.738704632306316,1.3113021850585938e-05,0.00012493133544921875,0.03835582733154297,0.00011324882507324219,2.4499635696411133,0.02905416488647461,0.6748247146606445,3.153864860534668,5.388237237930298,Dirichlet_Nd100_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,100,"{'bc_type': 'dirichlet', 'left': 0, 'right': 0}",fem,Dirichlet,10.0,0.10924439116284056,0.1462886930026462,0.23689908215985567,0.06616268396011353,0.07829252716501862,0.14721347673858856,20,100.0,0.8162050754567198,2.126931328317275,61.62522670149103,6.9141387939453125e-06,0.00011563301086425781,0.04077506065368652,0.00018644332885742188,6.312616348266602,0.04964160919189453,4.834406852722168,11.19668960571289,13.921694993972778,Dirichlet_Nd100_fem,success
100,20,100,,0.1,0.1,False,42,30,100,10,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",spectral,Neumann,10.0,0.013476049015374025,0.3623496547736241,0.5867869817885334,0.24269801105727393,0.3266240444609742,0.7440372605074635,20,100.0,0.011220280933391079,0.7305468177387624,98.46412568490534,5.4836273193359375e-06,0.00011301040649414062,0.003521442413330078,0.00011730194091796875,0.19334626197814941,0.02893376350402832,0.45539283752441406,0.677696943283081,2.6346356868743896,Neumann_Nd10_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,10,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",fem,Neumann,10.0,0.013476049015374025,0.3603459885147363,0.5835422559799803,0.24080025510269315,0.3250316715766886,0.7409211270146879,20,100.0,0.011218618497307346,0.7305468177387624,98.464353245418,6.198883056640625e-06,0.00011134147644042969,0.003596067428588867,0.0002155303955078125,0.5649228096008301,0.04807782173156738,1.197981357574463,1.8110065460205078,4.4769368171691895,Neumann_Nd10_fem,success
100,20,100,,0.1,0.1,False,42,30,100,20,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",spectral,Neumann,10.0,0.04996236800612683,0.18936574513232696,0.306657816770254,0.09912937998503694,0.1373433951214513,0.2787564014621954,20,100.0,0.10767938725003606,0.9162741985162441,88.24812622417993,5.0067901611328125e-06,0.00010275840759277344,0.00716853141784668,0.00013327598571777344,0.4146275520324707,0.02754974365234375,0.4835035800933838,0.9257032871246338,2.804732322692871,Neumann_Nd20_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,20,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",fem,Neumann,10.0,0.04996236800612683,0.18755148191551815,0.30371980917693564,0.098533124461077,0.13623278819210516,0.2779236907313002,20,100.0,0.10810870951517136,0.9162741985162441,88.20127100705928,5.245208740234375e-06,0.000102996826171875,0.007093191146850586,0.00020265579223632812,1.105283498764038,0.04909467697143555,1.552133321762085,2.7065346240997314,4.977719306945801,Neumann_Nd20_fem,success
100,20,100,,0.1,0.1,False,42,30,100,30,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",spectral,Neumann,10.0,0.04996236800612683,0.16544970808678353,0.2679283216281526,0.09225191012787963,0.11528274936964361,0.2575104119561019,20,100.0,0.1251247478677142,1.0708732632572224,88.31563433686556,5.245208740234375e-06,0.00010466575622558594,0.0110321044921875,0.00012087821960449219,0.5742394924163818,0.02860569953918457,0.4940454959869385,1.0969152450561523,3.02129864692688,Neumann_Nd30_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,30,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",fem,Neumann,10.0,0.04996236800612683,0.16572715894632187,0.26837762398105497,0.0927237350146222,0.11639289114993884,0.26055728495541963,20,100.0,0.12602780260626747,1.0708732632572224,88.23130552135228,5.245208740234375e-06,0.00011777877807617188,0.01149296760559082,0.00022935867309570312,1.6250994205474854,0.05078935623168945,1.7083044052124023,3.3842179775238037,5.687327861785889,Neumann_Nd30_fem,success
100,20,100,,0.1,0.1,False,42,30,100,50,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",spectral,Neumann,10.0,0.10098413535602901,0.20497441471925423,0.33193440802951585,0.09881332590949407,0.13767491468573748,0.34671835614600366,20,100.0,0.4886393354635502,1.5986260961790317,69.43379464206951,5.4836273193359375e-06,0.00011229515075683594,0.020549535751342773,0.00012421607971191406,0.9045910835266113,0.02945113182067871,0.6193282604217529,1.5533950328826904,3.619328022003174,Neumann_Nd50_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,50,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",fem,Neumann,10.0,0.10098413535602901,0.2034153613759573,0.3294096858621053,0.09839930935390029,0.13661253552199276,0.3454401022780389,20,100.0,0.49072355994418315,1.5986260961790317,69.30341865949205,5.4836273193359375e-06,0.00010848045349121094,0.020266056060791016,0.0001983642578125,3.0868401527404785,0.05124640464782715,2.731175661087036,5.869287729263306,8.366229772567749,Neumann_Nd50_fem,success
100,20,100,,0.1,0.1,False,42,30,100,75,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",spectral,Neumann,10.0,0.10098413535602901,0.19814683112729145,0.32087785777189326,0.10305361587222375,0.1362526933999538,0.30217914373981136,18,90.0,0.6467320803403277,1.789144078553499,63.85243155692623,5.0067901611328125e-06,0.00011348724365234375,0.030022859573364258,0.00012111663818359375,1.5174660682678223,0.02937912940979004,0.7057857513427734,2.252655029296875,4.462059736251831,Neumann_Nd75_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,75,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",fem,Neumann,10.0,0.10098413535602901,0.1948916927128228,0.3156065050318906,0.10247004371826793,0.13386819114418272,0.2983662212591902,18,90.0,0.6495337643127113,1.789144078553499,63.695838021169806,5.245208740234375e-06,0.00012421607971191406,0.029743671417236328,0.00018858909606933594,4.5690717697143555,0.05124378204345703,3.6550652980804443,8.275404691696167,10.89067554473877,Neumann_Nd75_fem,success
100,20,100,,0.1,0.1,False,42,30,100,100,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",spectral,Neumann,10.0,0.10924439116284056,0.16142121014740743,0.26140459484700074,0.08073926702296069,0.09418617422533464,0.1825358925979242,19,95.0,0.8186160351079749,2.126931328317275,61.51187279959696,5.245208740234375e-06,0.00011372566223144531,0.04044389724731445,0.000118255615234375,2.493403911590576,0.02792954444885254,0.8672962188720703,3.3886559009552,5.70632266998291,Neumann_Nd100_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,100,"{'bc_type': 'neumann', 'left': 0, 'right': 0}",fem,Neumann,10.0,0.10924439116284056,0.16061859401871392,0.2601048428271317,0.08020475157780199,0.09385165973790957,0.17388903183242288,19,95.0,0.8213151035128863,2.126931328317275,61.38497314990086,6.198883056640625e-06,0.0001125335693359375,0.03870964050292969,0.00018525123596191406,6.391659259796143,0.04889202117919922,4.7464964389801025,11.187072038650513,13.855458974838257,Neumann_Nd100_fem,success
100,20,100,,0.1,0.1,False,42,30,100,10,"{'bc_type': 'mixed_dirichlet_neumann', 'left': 0, 'right': 0}",spectral,Mixed_D-N,10.0,0.013476049015374025,0.4392876066903292,0.7113798660246162,0.3024256746074908,0.4231829557407975,0.981139373162387,20,100.0,0.012409278827302707,0.7305468177387624,98.30137117485329,5.7220458984375e-06,0.0001246929168701172,0.003475189208984375,0.0001399517059326172,0.18673086166381836,0.028574228286743164,0.41623854637145996,0.6315677165985107,2.461869478225708,Mixed_D-N_Nd10_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,10,"{'bc_type': 'mixed_dirichlet_neumann', 'left': 0, 'right': 0}",fem,Mixed_D-N,10.0,0.013476049015374025,0.43650833845376735,0.7068791347595852,0.30180627664411397,0.42049002034500765,0.9741007552284148,20,100.0,0.01271423688582484,0.7305468177387624,98.2596273671852,7.3909759521484375e-06,0.00016617774963378906,0.0038383007049560547,0.0001723766326904297,0.5454039573669434,0.050687313079833984,1.131927728652954,1.7280433177947998,3.8979110717773438,Mixed_D-N_Nd10_fem,success
100,20,100,,0.1,0.1,False,42,30,100,20,"{'bc_type': 'mixed_dirichlet_neumann', 'left': 0, 'right': 0}",spectral,Mixed_D-N,10.0,0.04996236800612683,0.2758520401975332,0.4467132339034373,0.2003155144874759,0.2555569460876015,0.5191794189563291,20,100.0,0.11264985654550728,0.9162741985162441,87.7056609552113,6.9141387939453125e-06,0.00011610984802246094,0.007135868072509766,0.00011754035949707031,0.37699055671691895,0.026124954223632812,0.4177093505859375,0.8208482265472412,2.6779935359954834,Mixed_D-N_Nd20_spectral,success
100,20,100,,0.1,0.1,False,42,30,100,20,"{'bc_type': 'mixed_dirichlet_neumann', 'left': 0, 'right': 0}",fem,Mixed_D-N,10.0,0.04996236800612683,0.27449683525486385,0.4445186226832041,0.19953891459516576,0.25386179256285857,0.5133675921851608,20,100.0,0.11343085289807411,0.9162741985162441,87.62042485952821,5.245208740234375e-06,0.00010204315185546875,0.007069826126098633,0.0001742839813232422,1.0832419395446777,0.050763845443725586,1.4478485584259033,2.581876516342163,4.775941371917725,Mixed_D-N_Nd20_fem,success
100,20,100,,0.1,0.1,False,42,30,100,30,"{'bc_type': 'mixed_dirichlet_neumann', 'left': 0, 'right': 0}",spectral,Mixed_D-N,10.0,0.04996236800612683,0.16015617763684264,0.2593560083533764,0.0874637002339916,0.11069186558274678,0.24110970288152123,20,100.0,0.12547089264285358,1.0708732632572224,88.28331073826467,5.245208740234375e-06,0.0001068115234375,0.011471986770629883,0.00014257431030273438,0.48627185821533203,0.02716374397277832,0.479839563369751,0.993300199508667,2.964195966720581,Mixed_D-N_Nd30_spectral,success
