method,n_points,dofs,n_samples,mat_shape,min_eig,neg_count,near_zero_count,symmetry_rel_err,symmetry_ok,symmetry_frob_diff,error
trapz,32,32,1024,50,-0.0002432697112902096,19,1,0.0055269205161958355,False,0.0028466853025610247,
trapz,32,64,32,50,-0.000235103252646155,19,1,0.005326817363383329,False,0.0027436207636088073,
trapz,32,64,64,50,-0.000235103252646155,19,1,0.005326817363383329,False,0.0027436207636088073,
trapz,32,64,128,50,-0.00023510325264614968,19,1,0.0053268173633833306,False,0.002743620763608808,
trapz,32,64,256,50,-0.00023510325264615426,19,1,0.005326817363383329,False,0.0027436207636088073,
trapz,32,64,512,50,-0.00023510325264614962,19,1,0.005326817363383329,False,0.0027436207636088073,
trapz,32,64,1024,50,-0.00023510325264614938,19,1,0.005326817363383328,False,0.002743620763608807,
trapz,32,128,32,50,-0.00023510325264614968,19,1,0.0053268173633833306,False,0.002743620763608808,
trapz,32,128,64,50,-0.00023510325264614968,19,1,0.0053268173633833306,False,0.002743620763608808,
trapz,32,128,128,50,-0.00023510325264614968,19,1,0.0053268173633833306,False,0.002743620763608808,
trapz,32,128,256,50,-0.00023510325264615426,19,1,0.005326817363383329,False,0.0027436207636088073,
trapz,32,128,512,50,-0.00023510325264614962,19,1,0.005326817363383329,False,0.0027436207636088073,
trapz,32,128,1024,50,-0.00023510325264614938,19,1,0.005326817363383328,False,0.002743620763608807,
simpson,64,32,32,50,-0.00015103370190823722,18,0,0.006137115011108448,False,0.0031609777561295645,
simpson,64,32,64,50,-2.4617039370025782e-05,18,0,0.005463803930819299,False,0.002814177274906543,
simpson,64,32,128,50,-2.461703937002665e-05,18,0,0.00546380393081929,False,0.0028141772749065387,
simpson,64,32,256,50,-2.4617039370025443e-05,18,0,0.005463803930819297,False,0.002814177274906542,
simpson,64,32,512,50,-2.4617039370024393e-05,18,0,0.005463803930819291,False,0.002814177274906539,
simpson,64,32,1024,50,-2.4617039370025972e-05,18,0,0.005463803930819315,False,0.0028141772749065504,
simpson,64,64,32,50,-9.400101502381573e-06,2,0,0.00544480580471283,False,0.002804392256974486,
simpson,64,64,64,50,-9.400101502381573e-06,2,0,0.00544480580471283,False,0.002804392256974486,
