function_index,method,n_points,vectorized,run,time_s,result
2,simpson,2000,True,1,0.00020024100012960844,1.0000000000000326
3,simpson,2000,True,1,0.0005744949994550552,0.9999999999994793
4,simpson,2000,True,1,0.00032398700204794295,1.000000000000521
5,simpson,2000,True,1,0.00020017200222355314,0.9999999999973636
6,simpson,2000,True,1,0.00018391000048723072,1.0000000000026366
7,simpson,2000,True,1,0.00017667700012680143,0.9999999999916679
0,simpson,2000,True,2,0.00013511699944501743,1.0
1,simpson,2000,True,2,0.00017502400078228675,0.9999999999999676
2,simpson,2000,True,2,0.00017882099928101525,1.0000000000000326
3,simpson,2000,True,2,0.00017653699978836812,0.9999999999994793
4,simpson,2000,True,2,0.00017263900008401833,1.000000000000521
5,simpson,2000,True,2,0.00022583099780604243,0.9999999999973636
6,simpson,2000,True,2,0.0001875769994512666,1.0000000000026366
7,simpson,2000,True,2,0.00018465199900674634,0.9999999999916679
0,trapz,10,True,0,0.00011161299698869698,1.0
1,trapz,10,True,0,6.422200021916069e-05,1.0000000000000002
2,trapz,10,True,0,5.429399971035309e-05,1.0
3,trapz,10,True,0,5.0085000111721456e-05,1.0
4,trapz,10,True,0,4.8803001845953986e-05,1.0000000000000002
5,trapz,10,True,0,4.873299985774793e-05,0.9999999999999998
6,trapz,10,True,0,4.991500100004487e-05,1.0000000000000004
7,trapz,10,True,0,8.035399878281169e-05,1.0000000000000007
0,trapz,10,True,1,5.890299871680327e-05,1.0
1,trapz,10,True,1,5.4763997468398884e-05,1.0000000000000002
2,trapz,10,True,1,5.123799928696826e-05,1.0
3,trapz,10,True,1,5.014500129618682e-05,1.0
4,trapz,10,True,1,4.927400004817173e-05,1.0000000000000002
5,trapz,10,True,1,5.1889001042582095e-05,0.9999999999999998
6,trapz,10,True,1,4.8902998969424516e-05,1.0000000000000004
7,trapz,10,True,1,4.812199767911807e-05,1.0000000000000007
0,trapz,10,True,2,5.210900053498335e-05,1.0
1,trapz,10,True,2,4.9904996558325365e-05,1.0000000000000002
2,trapz,10,True,2,5.0796999857993796e-05,1.0
3,trapz,10,True,2,4.9092999688582495e-05,1.0
4,trapz,10,True,2,4.8642999900039285e-05,1.0000000000000002
5,trapz,10,True,2,4.834200080949813e-05,0.9999999999999998
6,trapz,10,True,2,0.00010872699931496754,1.0000000000000004
7,trapz,10,True,2,6.021499939379282e-05,1.0000000000000007
0,trapz,21,True,0,0.00010836699948413298,1.0
1,trapz,21,True,0,7.013299909885973e-05,1.0
2,trapz,21,True,0,5.5785996664781123e-05,1.0000000000000002
3,trapz,21,True,0,4.929399801767431e-05,0.9999999999999998
4,trapz,21,True,0,4.957399869454093e-05,1.0000000000000002
5,trapz,21,True,0,4.8402001993963495e-05,1.0000000000000004
6,trapz,21,True,0,4.8072000936372206e-05,1.0000000000000002
7,trapz,21,True,0,4.6959001338109374e-05,1.0000000000000004
0,trapz,21,True,1,5.734899968956597e-05,1.0
1,trapz,21,True,1,5.669799793395214e-05,1.0
