method,n_points,run,time_s,result
trapz,162377,0,0.012964064997504465,0.7718745510052968
trapz,162377,1,0.005054485001892317,0.7718745510052968
trapz,162377,2,0.004946779998135753,0.7718745510052968
trapz,162377,3,0.006830867001553997,0.7718745510052968
trapz,162377,4,0.012533877001260407,0.7718745510052968
trapz,297635,0,0.015763216000777902,0.7718745509881831
trapz,297635,1,0.022274784998444375,0.7718745509881831
trapz,297635,2,0.009885885003313888,0.7718745509881831
trapz,297635,3,0.010003598999901442,0.7718745509881831
trapz,297635,4,0.020795206997718196,0.7718745509881831
trapz,545559,0,0.03835482300200965,0.7718745509830897
trapz,545559,1,0.04309215399916866,0.7718745509830897
trapz,545559,2,0.04675925700212247,0.7718745509830897
trapz,545559,3,0.0409791909987689,0.7718745509830897
trapz,545559,4,0.03371517900086474,0.7718745509830897
trapz,1000000,0,0.07750388999920688,0.7718745509815734
trapz,1000000,1,0.06940971600124612,0.7718745509815734
trapz,1000000,2,0.08828672500021639,0.7718745509815734
trapz,1000000,3,0.07873509700220893,0.7718745509815734
trapz,1000000,4,0.050256086000445066,0.7718745509815734
